Origin,Country/territory of asylum,Procedure T,Procedure L,Pending start 2011,Applied during 2011,Positive convetion status,Positive complem. protect. status.,Rejected,Otherwise closed,Total,Pending end 2011,Protection indicators recognition rates ref. status,Protection indicators recognition rates total,Protection indicators otherwise closed rate,Protection indicators change pending cases (%)
Afghanistan,Pakistan,U,FA,1946,948,395,0,282,674,1351,1543,58.3,58.3,49.9,-20.7
Afghanistan,Romania,G,FA,28,127,16,17,58,7,98,57,17.6,36.3,7.1,103.6
Afghanistan,Russian Fed.,G,FI,444,540,88,0,0,656,744,240,100,100,88.2,-45.9
Afghanistan,Russian Fed.,G,TA,153,465,277,0,0,184,461,157,100,100,39.9,2.6
Afghanistan,Serbia (and Kosovo: S/RES/1244 (1999)),J,FI,54,1691,0,0,59,1513,1572,173,0,0,96.2,220.4
Afghanistan,Sweden,G,AR,325,1003,48,119,552,101,820,683,6.7,23.2,12.3,110.2
Afghanistan,Sweden,G,FI,1383,4122,401,2188,957,102,3648,1521,11.3,73,2.8,10
Afghanistan,Switzerland4,G,FI,518,1006,25,185,48,244,502,1269,9.7,81.4,48.6,145
Afghanistan,Syrian Arab Rep.,U,FI,534,203,358,*,80,167,607,130,81.4,81.8,27.5,-75.7
Afghanistan,Tajikistan,G,FA,1564,670,218,0,80,0,298,1936,73.2,73.2,0,23.8
Afghanistan,The former Yugoslav Republic of Macedonia,G,FA,29,427,0,0,0,249,249,207,..,..,100,613.8
Afghanistan,Turkey,U,AR,703,605,447,0,123,532,1102,206,78.4,78.4,48.3,-70.7
Afghanistan,Turkey,U,FI,1244,2486,870,0,76,595,1541,2189,92,92,38.6,76
Afghanistan,Ukraine,G,FA,510,324,110,0,73,90,273,561,60.1,60.1,33,10
Afghanistan,Ukraine,G,JR,566,394,*,6,38,59,107,853,8.3,20.8,55.1,50.7
Afghanistan,United Kingdom,G,AR,734,998,198,0,816,69,1083,686,19.5,19.5,6.4,-6.5
Afghanistan,United Kingdom,G,FI,924,1529,171,280,978,446,1875,716,12,31.6,23.8,-22.5
Afghanistan,United Kingdom,G,RA,0,133,0,0,*,10,12,0,0,0,83.3,..
Afghanistan,United States,G,IN,46,159,104,0,*,20,125,107,99,99,16,132.6
Albania,Belgium,G,FI,247,1152,30,0,395,70,495,976,7.1,7.1,14.1,295.1
Albania,Belgium,G,RA,0,134,0,0,0,0,0,0,..,..,..,..
Albania,Canada,G,FI,508,226,92,0,173,29,294,443,34.7,34.7,9.9,-12.8
Albania,France,G,FI,0,477,10,29,424,0,463,0,2.2,8.4,0,..
Albania,Greece,G,FI,0,276,*,*,420,53,477,0,0.5,0.9,11.1,..
Albania,Sweden,G,AR,11,122,0,6,79,5,90,80,0,7.1,5.6,627.3
Albania,Sweden,G,FI,28,263,*,11,158,24,197,86,2.3,8.7,12.2,207.1
Albania,United Kingdom,G,AR,71,104,27,0,65,5,97,65,29.3,29.3,5.2,-8.5
Albania,United Kingdom,G,FI,52,439,21,52,163,101,337,174,8.9,30.9,30,234.6
Albania,United States,G,IN,18,110,15,0,*,94,110,22,93.8,93.8,85.5,22.2
Algeria,Austria,G,FA,247,447,8,*,316,170,495,259,2.5,2.8,34.3,4.9
Algeria,Belgium,G,FI,53,246,5,0,121,38,164,106,4,4,23.2,100
Algeria,Canada,G,FI,256,159,60,0,55,23,138,283,52.2,52.2,16.7,10.5
Algeria,Denmark,G,FI,*,103,0,0,5,0,5,7,0,0,0,250
Algeria,France,G,FI,0,1132,31,11,1051,0,1093,0,2.8,3.8,0,..
Algeria,Germany,G,,157,487,*,*,353,71,427,248,0.6,0.8,16.6,58
Algeria,Germany,G,RA,41,102,*,*,10,76,88,54,8.3,16.7,86.4,31.7
Algeria,Italy,G,FI,0,132,*,0,95,0,99,0,4,4,0,..
Algeria,Norway,G,FI,28,101,0,*,47,69,117,22,0,2.1,59,-21.4
Algeria,Romania,G,FA,*,519,0,0,436,*,440,82,0,0,0.9,2633.3
Algeria,Spain,G,FI,47,122,0,*,80,6,89,0,0,3.6,6.7,-100
Algeria,Sweden,G,AR,55,103,0,*,112,15,128,43,0,0.9,11.7,-21.8
Algeria,Sweden,G,FI,80,294,0,5,105,82,192,97,0,4.5,42.7,21.3
Algeria,Switzerland4,G,FI,119,464,*,*,38,514,555,222,2.4,7.3,92.6,86.6
Algeria,United Kingdom,G,AR,54,131,16,0,100,8,124,68,13.8,13.8,6.5,25.9
Algeria,United Kingdom,G,FI,113,361,12,20,193,139,364,128,5.3,14.2,38.2,13.3
Angola,Belgium,G,FI,82,146,6,*,145,5,157,76,3.9,4.6,3.2,-7.3
Angola,France,G,FI,0,690,27,0,385,0,412,0,6.6,6.6,0,..
Armenia,Austria,G,FA,881,224,30,51,636,26,743,431,4.2,11.3,3.5,-51.1
Armenia,Belgium,G,FI,479,556,6,*,896,54,960,213,0.7,1.1,5.6,-55.5
Armenia,Belgium,G,RA,0,446,0,0,0,0,0,0,..,..,..,..
Armenia,France,G,FI,0,3639,51,9,1765,0,1825,0,2.8,3.3,0,..
Armenia,France,G,RA,0,560,0,0,0,0,0,0,..,..,..,..
Armenia,Germany,G,,172,335,7,10,151,72,240,284,4.2,10.1,30,65.1
Armenia,Netherlands,G,FI,577,471,5,55,566,0,626,628,0.8,9.6,0,8.8
Armenia,Netherlands,G,RA,0,110,0,0,0,0,0,0,..,..,..,..
Armenia,Poland,G,FI,72,168,0,32,82,108,222,84,0,28.1,48.6,16.7
Armenia,Sweden,G,AR,113,228,9,13,232,31,285,111,3.5,8.7,10.9,-1.8
Armenia,Sweden,G,FI,129,262,*,33,254,22,313,92,1.4,12.7,7,-28.7
Azerbaijan,Belgium,G,FI,86,125,5,0,34,*,42,149,12.8,12.8,7.1,73.3
Azerbaijan,France,G,FI,0,737,89,0,414,0,503,0,17.7,17.7,0,..
Azerbaijan,France,G,RA,0,104,0,0,0,0,0,0,..,..,..,..
Azerbaijan,Germany,G,,303,646,39,9,217,34,299,645,14.7,18.1,11.4,112.9
Azerbaijan,Netherlands,G,FI,135,115,10,30,101,0,141,123,7.1,28.4,0,-8.9
Azerbaijan,Sweden,G,AR,216,273,*,14,383,34,434,141,0.8,4.3,7.8,-34.7
Azerbaijan,Sweden,G,FI,148,389,9,31,287,28,355,159,2.8,12.2,7.9,7.4
Bahrain,United Kingdom,G,FI,*,122,61,0,34,14,109,19,64.2,64.2,12.8,375
Bangladesh,Australia,G,FI,44,127,19,0,83,0,102,69,18.6,18.6,0,56.8
Bangladesh,Belgium,G,FI,145,493,*,0,108,16,126,359,1.8,1.8,12.7,147.6
Bangladesh,Canada,G,FI,251,120,48,0,81,16,145,223,37.2,37.2,11,-11.2
Bangladesh,Cyprus,G,AR,21,140,0,*,94,18,113,48,0,1.1,15.9,128.6
Bangladesh,Cyprus,G,FI,37,182,0,0,192,*,195,24,0,0,1.5,-35.1
Bangladesh,France,G,FI,0,3572,42,*,3722,0,3768,0,1.1,1.2,0,..
Bangladesh,France,G,RA,0,566,0,0,0,0,0,0,..,..,..,..
Bangladesh,Germany,G,,52,143,*,0,97,*,102,95,1,1,3.9,82.7
Bangladesh,Greece,G,FI,0,615,0,*,1048,80,1131,0,0,0.3,7.1,..
Bangladesh,Italy,G,FI,0,1595,11,29,799,0,839,0,1.3,4.8,0,..
Bangladesh,South Africa,G,FI,0,4752,5,0,2048,0,2053,2699,0.2,0.2,0,..
Bangladesh,Sweden,G,AR,45,111,*,6,80,5,95,79,4.4,11.1,5.3,75.6
Bangladesh,Sweden,G,FI,67,116,*,*,106,17,130,46,2.7,6.2,13.1,-31.3
Bangladesh,United Kingdom,G,AR,94,245,23,0,205,12,240,123,10.1,10.1,5,30.9
Bangladesh,United Kingdom,G,FI,115,671,10,30,431,122,593,206,2.1,8.5,20.6,79.1
Bangladesh,United States,G,EO,0,220,47,0,50,159,256,0,48.5,48.5,62.1,..
Bangladesh,United States,G,IN,17,146,20,0,*,109,130,39,95.2,95.2,83.8,129.4
Belarus,Netherlands,G,FI,40,256,10,*,197,0,211,77,4.7,6.6,0,92.5
Belarus,Sweden,G,AR,140,191,*,*,185,40,229,118,0.5,2.1,17.5,-15.7
Belarus,Sweden,G,FI,105,419,7,6,211,100,324,133,3.1,5.8,30.9,26.7
Belarus,Switzerland4,G,FI,22,105,*,0,10,92,104,44,16.7,16.7,88.5,100
Belarus,United States,G,IN,32,329,117,0,*,178,299,80,96.7,96.7,59.5,150
Bosnia and H.,Belgium,G,FI,118,488,0,0,268,85,353,217,0,0,24.1,83.9
Bosnia and H.,France,G,FI,0,235,13,0,95,0,108,0,12,12,0,..
Bosnia and H.,Germany,G,,153,305,0,9,257,52,318,143,0,3.4,16.4,-6.5
Bosnia and H.,Germany,G,RA,31,102,*,*,9,62,75,62,15.4,30.8,82.7,100
Bosnia and H.,Italy,G,FI,0,227,0,0,510,0,510,0,0,0,0,..
Bosnia and H.,Sweden,G,AR,34,242,5,*,139,25,170,134,3.4,4.1,14.7,294.1
Bosnia and H.,Sweden,G,FI,44,981,0,13,357,44,414,590,0,3.5,10.6,1240.9
Bosnia and H.,Switzerland4,G,FI,42,201,11,6,48,91,156,132,16.9,26.2,58.3,214.3
Botswana,Canada,G,FI,170,126,73,0,64,11,148,150,53.3,53.3,7.4,-11.8
Brazil,United States,G,EO,0,156,22,0,60,118,200,0,26.8,26.8,59,..
Brazil,United States,G,IN,31,184,40,0,*,137,178,36,97.6,97.6,77,16.1
Bulgaria,Switzerland4,G,FI,*,127,0,0,*,64,65,30,0,0,98.5,2900
Burkina Faso,Italy,G,FI,0,737,6,19,421,0,446,0,1.3,5.6,0,..
Burkina Faso,United States,G,IN,30,178,46,0,17,99,162,47,73,73,61.1,56.7
Burundi,Belgium,G,FI,108,149,41,*,157,13,215,113,20.3,22.3,6,4.6
Burundi,Canada,G,FI,212,152,92,0,47,*,141,222,66.2,66.2,1.4,4.7
Burundi,Kenya,U,AR,24,1369,110,0,96,*,208,1185,53.4,53.4,1,4837.5
Burundi,Malawi,G,AR,624,204,0,0,0,28,28,800,..,..,100,28.2
Burundi,Malawi,G,FI,1085,470,92,0,162,9,263,1292,36.2,36.2,3.4,19.1
Burundi,Mozambique,G,FI,720,642,12,0,0,0,12,1350,100,100,0,87.5
Burundi,South Africa,G,FI,0,1306,49,0,543,0,592,714,8.3,8.3,0,..
Burundi,Uganda,G,FA,1653,1501,1684,0,14,0,1698,1456,99.2,99.2,0,-11.9
Burundi,United States,G,IN,14,105,20,0,*,46,70,49,83.3,83.3,65.7,250
Cameroon,Algeria,U,FI,92,392,0,0,83,105,188,296,0,0,55.9,221.7
Cameroon,Belgium,G,FI,157,451,82,*,320,14,418,172,20.3,20.8,3.3,9.6
Cameroon,Belgium,G,RA,0,133,0,0,0,0,0,0,..,..,..,..
Cameroon,Canada,G,FI,246,116,118,0,40,13,171,187,74.7,74.7,7.6,-24
Cameroon,France,G,FI,0,220,22,*,169,0,192,0,11.5,12,0,..
Cameroon,Germany,G,,129,190,*,5,102,21,132,177,3.6,8.1,15.9,37.2
Cameroon,Italy,G,FI,0,176,13,12,85,0,110,0,11.8,22.7,0,..
Cameroon,South Africa,G,FI,0,531,*,0,206,0,210,321,1.9,1.9,0,..
Cameroon,Spain,G,FI,195,129,6,0,62,*,69,0,8.8,8.8,1.4,-100
Cameroon,United Kingdom,G,FI,39,102,22,11,52,8,93,52,25.9,38.8,8.6,33.3
Cameroon,United States,G,IN,68,444,228,0,31,178,437,98,88,88,40.7,44.1
Central African Rep.,Cameroon,U,FA,956,1280,468,0,160,181,809,1427,74.5,74.5,22.4,49.3
Central African Rep.,Cameroon,U,RA,136,106,7,0,51,143,201,41,12.1,12.1,71.1,-69.9
Central African Rep.,Chad,J,FI,*,951,947,0,*,0,948,6,99.9,99.9,0,100
Chad,Cameroon,U,FA,459,335,52,0,128,120,300,494,28.9,28.9,40,7.6
Chad,Central African Rep.,G,FI,213,456,0,0,0,0,0,669,..,..,..,214.1
Chad,France,G,FI,0,152,19,5,106,0,130,0,14.6,18.5,0,..
Chad,Italy,G,FI,0,527,13,23,94,0,130,0,10,27.7,0,..
Chad,Sudan,G,FA,15,214,204,0,6,*,212,17,97.1,97.1,0.9,13.3
Chad,Tunisia,U,FA,0,176,18,0,81,0,99,77,18.2,18.2,0,..
China,Australia,G,AR,218,938,209,0,593,40,846,369,26.1,26.1,4.7,69.3
China,Australia,G,FI,317,1189,132,0,934,0,1066,428,12.4,12.4,0,35
China,Austria,G,FA,535,238,50,7,279,63,399,407,14.9,17,15.8,-23.9
China,Belgium,G,FI,169,292,189,0,25,13,227,290,88.3,88.3,5.7,71.6
China,Belgium,G,RA,0,122,0,0,0,0,0,0,..,..,..,..
China,Canada,G,FI,2972,1922,958,0,672,179,1809,3165,58.8,58.8,9.9,6.5
China,France,G,FI,0,2187,156,0,2088,0,2244,0,7,7,0,..
China,Germany,G,,235,339,49,*,332,30,413,163,12.8,13.3,7.3,-30.6
China,Germany,G,RA,41,121,20,7,*,73,102,62,69,93.1,71.6,51.2
China,Greece,G,FI,0,406,0,0,355,45,400,0,0,0,11.3,..
China,Ireland,G,FI,40,156,*,0,179,10,190,6,0.6,0.6,5.3,-85
China,Netherlands,G,FI,218,276,36,148,177,0,361,188,10,51,0,-13.8
China,Norway,G,FI,156,101,185,0,36,11,232,24,83.7,83.7,4.7,-84.6
China,South Africa,G,FI,0,1204,0,0,555,0,555,649,0,0,0,..
China,Sweden,G,FI,46,101,26,7,50,25,108,33,31.3,39.8,23.1,-28.3
China,Switzerland4,G,FI,290,688,51,337,40,35,463,547,11.9,90.7,7.6,88.6
China,United Kingdom,G,AR,375,466,91,0,406,40,537,295,18.3,18.3,7.4,-21.3
China,United Kingdom,G,FI,580,1024,97,131,792,246,1266,465,9.5,22.4,19.4,-19.8
China,United States,G,EO,0,2018,5084,0,1820,2225,9129,0,73.6,73.6,24.4,..
China,United States,G,IN,1553,13631,3614,0,277,8235,12126,3426,92.9,92.9,67.9,120.6
Colombia,Argentina,G,FI,398,342,31,24,55,144,254,486,28.2,50,56.7,22.1
Colombia,Brazil,G,FI,16,193,36,0,65,*,103,106,35.6,35.6,1.9,562.5
Colombia,Canada,G,FI,2692,904,639,0,972,121,1732,1882,39.7,39.7,7,-30.1
Colombia,Chile,G,FI,246,267,5,52,137,*,195,318,2.6,29.4,0.5,29.3
Colombia,Costa Rica,G,FI,296,551,100,0,222,200,522,325,31.1,31.1,38.3,9.8
Colombia,Ecuador,G,FA,39744,13199,2652,0,7528,48,10228,20823,26.1,26.1,0.5,-47.6
Colombia,France,G,FI,0,114,10,*,94,0,105,0,9.5,10.5,0,..
Colombia,Panama,G,FI,217,1208,135,0,57,758,950,475,70.3,70.3,79.8,118.9
Colombia,Peru,G,FI,143,138,5,0,*,22,28,253,83.3,83.3,78.6,76.9
Colombia,Spain,G,FI,52,104,36,13,334,6,389,0,9.4,12.8,1.5,-100
Colombia,United States,G,EO,0,304,193,0,217,401,811,0,47.1,47.1,49.4,..
Colombia,United States,G,IN,165,338,184,0,9,186,379,177,95.3,95.3,49.1,7.3
Colombia,Venezuela (Bolivarian Republic of),G,FI,15694,3155,490,0,1165,*,1657,17192,29.6,29.6,0.1,9.5
Comoros,France,G,FI,0,1381,49,*,998,0,1051,0,4.7,5,0,..
Congo,France,G,FI,0,773,58,9,524,0,591,0,9.8,11.3,0,..
Congo,Italy,G,FI,0,111,24,9,62,0,95,0,25.3,34.7,0,..
Congo,South Africa,G,FI,0,1581,107,0,696,0,803,778,13.3,13.3,0,..
Congo,United States,G,IN,39,183,76,0,10,66,152,69,88.4,88.4,43.4,76.9
Côte d'Ivoire,Algeria,U,FI,42,191,*,0,0,35,36,197,100,100,97.2,369
Côte d'Ivoire,Angola,G,FA,1213,133,196,0,175,0,371,975,52.8,52.8,0,-19.6
Côte d'Ivoire,Belgium,G,FI,113,352,17,*,135,20,173,319,11.1,11.8,11.6,182.3
Côte d'Ivoire,Benin,G,FI,*,377,142,0,8,0,150,229,94.7,94.7,0,11350
Côte d'Ivoire,Burkina Faso,G,FI,98,129,0,0,0,*,*,223,..,..,100,127.6
Côte d'Ivoire,Cameroon,U,FA,57,234,70,0,*,27,99,192,97.2,97.2,27.3,236.8
Côte d'Ivoire,France,G,FI,0,1671,38,70,711,0,819,0,4.6,13.2,0,..
Côte d'Ivoire,Gambia,G,FI,49,105,0,0,0,154,154,0,..,..,100,-100
Côte d'Ivoire,Germany,G,,36,123,7,7,62,12,88,69,9.2,18.4,13.6,91.7
Côte d'Ivoire,Ghana,J,FA,282,17985,*,0,0,8233,8234,10033,100,100,100,3457.8
Côte d'Ivoire,Guinea,G,FA,307,100,124,0,52,136,312,95,70.5,70.5,43.6,-69.1
Côte d'Ivoire,Israel,G,FI,680,147,*,0,96,0,97,730,1,1,0,7.4
Côte d'Ivoire,Italy,G,FI,0,1938,63,204,926,0,1193,0,5.3,22.4,0,..
Côte d'Ivoire,Mali,G,FI,1231,843,21,0,27,0,48,2026,43.8,43.8,0,64.6
Côte d'Ivoire,Malta,G,FI,0,111,0,*,105,*,107,*,0,0.9,0.9,..
Côte d'Ivoire,Mauritania,U,FA,67,272,21,0,0,117,138,201,100,100,84.8,200
Côte d'Ivoire,Morocco,U,FI,20,285,8,0,10,27,45,260,44.4,44.4,60,1200
Côte d'Ivoire,Netherlands,G,FI,140,123,*,19,48,0,70,282,4.3,31.4,0,101.4
Côte d'Ivoire,Niger,G,FI,6,115,5,0,36,23,64,57,12.2,12.2,35.9,850
Côte d'Ivoire,Nigeria,G,FA,24,107,*,0,0,*,5,126,100,100,80,425
Côte d'Ivoire,Spain,G,FI,668,550,0,28,22,5,55,0,0,56,9.1,-100
Côte d'Ivoire,Switzerland4,G,FI,41,197,*,*,*,119,126,153,42.9,57.1,94.4,273.2
Côte d'Ivoire,Togo,G,FI,43,5209,*,5022,0,0,5023,229,0,100,0,432.6
Côte d'Ivoire,Tunisia,U,FA,14,191,16,0,32,0,48,157,33.3,33.3,0,1021.4
Côte d'Ivoire,United Kingdom,G,FI,26,171,16,8,120,15,159,44,11.1,16.7,9.4,69.2
Côte d'Ivoire,United States,G,IN,40,419,129,0,28,202,359,84,82.2,82.2,56.3,110
Croatia,Canada,G,FI,252,473,16,0,39,18,73,647,29.1,29.1,24.7,156.7
Cuba,Canada,G,FI,264,155,128,0,53,38,219,198,70.7,70.7,17.4,-25
Cuba,Costa Rica,G,FI,40,155,58,0,70,25,153,42,45.3,45.3,16.3,5
Cuba,Ecuador,G,FA,3528,435,*,0,1121,10,1133,148,0.2,0.2,0.9,-95.8
Cuba,Spain,G,FI,36,440,80,468,23,8,579,0,14,96,1.4,-100
Cuba,United States,G,EO,0,197,13,0,82,187,282,0,13.7,13.7,66.3,..
Dem. People's Rep. of Korea,Canada,G,FI,179,385,117,0,12,41,170,393,90.7,90.7,24.1,119.6
Dem. Rep. of the Congo,Belgium,G,FI,670,1080,81,6,388,36,511,1100,17.1,18.3,7,64.2
Dem. Rep. of the Congo,Belgium,G,RA,0,121,0,0,0,0,0,0,..,..,..,..
Dem. Rep. of the Congo,Burundi,G,FA,11563,3464,5404,0,*,190,5598,9429,99.9,99.9,3.4,-18.5
Dem. Rep. of the Congo,Cameroon,U,FA,187,148,20,0,87,23,130,205,18.7,18.7,17.7,9.6
Dem. Rep. of the Congo,Canada,G,FI,682,347,220,0,128,43,391,630,63.2,63.2,11,-7.6
Dem. Rep. of the Congo,Central African Rep.,G,FI,783,510,0,0,0,0,0,1293,..,..,..,65.1
Dem. Rep. of the Congo,Congo,G,FA,4635,460,50,0,321,2423,2794,2301,13.5,13.5,86.7,-50.4
Dem. Rep. of the Congo,France,G,FI,0,3845,297,10,2327,0,2634,0,11.3,11.7,0,..
Dem. Rep. of the Congo,France,G,RA,0,265,0,0,0,0,0,0,..,..,..,..
Dem. Rep. of the Congo,Germany,G,,160,190,10,43,112,18,183,176,6.1,32.1,9.8,10
Dem. Rep. of the Congo,Italy,G,FI,0,107,21,14,40,0,75,0,28,46.7,0,..
Dem. Rep. of the Congo,Kenya,U,AR,178,2941,518,0,395,34,947,2172,56.7,56.7,3.6,1120.2
Dem. Rep. of the Congo,Malawi,G,FI,2436,3292,415,0,58,18,491,5237,87.7,87.7,3.7,115
Dem. Rep. of the Congo,Morocco,U,FI,77,202,9,0,144,33,186,93,5.9,5.9,17.7,20.8
Dem. Rep. of the Congo,Mozambique,G,FI,2350,1705,88,0,0,0,88,3967,100,100,0,68.8
Dem. Rep. of the Congo,Namibia,G,FI,1001,175,79,0,94,352,525,651,45.7,45.7,67,-35
Dem. Rep. of the Congo,Norway,G,AR,79,131,0,*,97,7,106,96,0,2,6.6,21.5
Dem. Rep. of the Congo,South Africa,G,FI,0,7668,802,0,2399,0,3201,4467,25.1,25.1,0,..
Dem. Rep. of the Congo,Sudan,G,FA,*,733,0,0,0,*,*,734,..,..,100,36600
Dem. Rep. of the Congo,Sweden,G,FI,51,108,16,33,54,*,107,49,15.5,47.6,3.7,-3.9
Dem. Rep. of the Congo,Switzerland4,G,FI,113,139,18,59,71,22,170,120,12.2,52,12.9,6.2
Dem. Rep. of the Congo,Uganda,G,FA,5281,4241,2583,0,*,0,2585,6937,99.9,99.9,0,31.4
Dem. Rep. of the Congo,United Kingdom,G,AR,137,109,47,0,78,11,136,89,37.6,37.6,8.1,-35
Dem. Rep. of the Congo,United Kingdom,G,FI,101,213,43,28,114,22,207,116,23.2,38.4,10.6,14.9
Dem. Rep. of the Congo,Zambia,G,FI,73,420,127,0,18,0,145,348,87.6,87.6,0,376.7
Dem. Rep. of the Congo,Zimbabwe,G,FI,307,936,0,146,132,339,617,626,0,52.5,54.9,103.9
Dominican Rep.,Argentina,G,FI,140,135,0,0,89,36,125,150,0,0,28.8,7.1
Dominican Rep.,France,G,FI,0,131,0,0,184,0,184,0,0,0,0,..
Dominican Rep.,United States,G,EO,0,190,9,0,53,88,150,0,14.5,14.5,58.7,..
Ecuador,United States,G,EO,0,321,19,0,55,180,254,0,25.7,25.7,70.9,..
Ecuador,United States,G,IN,60,486,10,0,0,408,418,141,100,100,97.6,135
Egypt,Australia,G,AR,58,297,126,0,90,12,230,139,58.3,58.3,5.2,139.7
Egypt,Australia,G,FI,198,415,117,0,298,0,415,220,28.2,28.2,0,11.1
Egypt,Austria,G,FA,129,124,9,10,61,26,106,174,11.3,23.8,24.5,34.9
Egypt,Belgium,G,FI,18,102,*,0,16,8,27,70,15.8,15.8,29.6,288.9
Egypt,Canada,G,FI,164,155,87,0,29,12,128,193,75,75,9.4,17.7
Egypt,Cyprus,G,AR,47,123,0,6,107,*,115,55,0,5.3,1.7,17
Egypt,Cyprus,G,FI,108,184,0,0,149,8,157,135,0,0,5.1,25
Egypt,France,G,FI,0,298,6,7,90,0,103,0,5.8,12.6,0,..
Egypt,Germany,G,,37,177,13,0,43,15,71,150,23.2,23.2,21.1,305.4
Egypt,Greece,G,FI,0,306,0,0,206,37,243,0,0,0,15.2,..
Egypt,Italy,G,FI,0,249,24,23,72,0,119,0,20.2,39.5,0,..
Egypt,Jordan,U,FA,75,221,8,0,71,27,106,190,10.1,10.1,25.5,153.3
Egypt,South Africa,G,FI,0,270,0,0,97,0,97,173,0,0,0,..
Egypt,Sweden,G,AR,87,108,*,0,140,24,168,44,2.8,2.8,14.3,-49.4
Egypt,Sweden,G,FI,59,140,9,5,104,*,121,69,7.6,11.9,2.5,16.9
Egypt,United Kingdom,G,FI,37,245,45,8,130,24,207,75,24.6,29,11.6,102.7
Egypt,United States,G,IN,97,1056,576,0,20,238,834,390,96.6,96.6,28.5,302.1
El Salvador,Canada,G,FI,1117,460,190,0,508,51,749,830,27.2,27.2,6.8,-25.7
El Salvador,Mexico,G,FA,27,181,73,5,0,0,78,130,93.6,100,0,381.5
El Salvador,United States,G,EO,0,3294,180,0,1336,2669,4185,0,11.9,11.9,63.8,..
El Salvador,United States,G,IN,319,1030,113,0,108,863,1084,494,51.1,51.1,79.6,54.9
Eritrea,Canada,G,FI,247,171,244,0,8,13,265,150,96.8,96.8,4.9,-39.3
Eritrea,Djibouti,U,FI,360,314,49,*,0,53,104,570,96.1,100,51,58.3
Eritrea,Egypt,U,FI,487,465,161,0,23,30,214,738,87.5,87.5,14,51.5
Eritrea,France,G,FI,0,932,362,*,555,0,920,0,39.3,39.7,0,..
Eritrea,Germany,G,,404,632,250,34,16,82,382,639,83.3,94.7,21.5,58.2
Eritrea,Italy,G,FI,0,498,257,117,64,0,438,0,58.7,85.4,0,..
Eritrea,Kenya,U,AR,26,317,141,0,33,0,174,169,81,81,0,550
Eritrea,Malta,G,FI,0,306,15,245,43,5,308,0,5,85.8,1.6,..
Eritrea,Netherlands,G,FI,248,458,27,404,181,0,612,167,4.4,70.4,0,-32.7
Eritrea,Norway,G,AR,444,684,80,7,428,89,604,513,15.5,16.9,14.7,15.5
Eritrea,Norway,G,FI,956,1256,1045,98,274,244,1661,639,73.7,80.7,14.7,-33.2
Eritrea,South Africa,G,FI,0,375,292,0,48,0,340,35,85.9,85.9,0,..
Eritrea,Sudan,G,FA,2369,8850,8653,0,142,30,8825,2394,98.4,98.4,0.3,1.1
Eritrea,Sudan,U,FI,20,122,51,0,*,*,54,88,98.1,98.1,3.7,340
Eritrea,Sweden,G,AR,58,171,6,26,141,24,197,91,3.5,18.5,12.2,56.9
