Country/territory of asylum,Cases/Persons App.,Cases/Persons Dec.,Procedure T,Procedure L,Pending start 2011,Applied during 2011,Positive convetion status,Positive complem. protect. status.,Rejected,Otherwise closed,Total,Pending end 2011,Protection indicators recognition rates ref. status,Protection indicators recognition rates total,Protection indicators otherwise closed rate,Protection indicators change pending cases (%)
Curacao,P,P,U,FI,2,8,0,0,0,4,4,6,..,..,100,200
Cyprus,P,P,G,AR,3101,2370,9,32,3160,438,3639,1832,0.28116213683223995,1.280849734457982,12.036273701566365,-40.92228313447276
Cyprus,P,P,G,FI,2273,1766,53,16,2543,234,2846,1193,2.0290964777947935,2.641653905053599,8.222066057624737,-47.5142982842059
Cyprus,P,P,U,FA,22,31,0,0,0,19,19,34,..,..,100,54.54545454545454
Czech Rep.,P,P,G,FI,721,756,113,270,0,0,383,565,29.50391644908616,100,0,-21.63661581137309
Czech Rep.,P,P,G,AR,344,0,0,0,0,0,0,344,..,..,..,0
Dem. Rep. of the Congo,P,P,U,FI,932,225,0,0,4,17,21,1136,0,0,80.95238095238095,21.888412017167383
Denmark,P,P,G,FI,483,3811,736,384,1915,0,3035,666,24.2504118616145,36.902800658978585,0,37.88819875776397
Denmark,P,P,G,AR,761,0,208,192,870,28,1298,761,16.37795275590551,31.496062992125985,2.157164869029276,0
Djibouti,P,P,U,FI,732,1382,50,8,0,151,209,1905,86.20689655172413,100,72.24880382775119,160.24590163934425
Dominica,P,P,U,FI,0,1,0,0,0,1,1,0,..,..,100,..
Dominican Rep.,P,P,G,FI,1761,28,0,0,0,4,4,1785,..,..,100,1.362862010221465
Ecuador,P,P,G,FA,49887,14171,2679,0,9584,67,12330,21558,21.846204028378047,21.846204028378047,0.543390105433901,-56.78633712189548
Egypt,P,P,U,FI,15040,5176,723,0,536,709,1968,18248,57.426528991262906,57.426528991262906,36.02642276422765,21.329787234042552
Egypt,P,P,U,AR,453,323,44,0,37,5,86,690,54.32098765432099,54.32098765432099,5.813953488372093,52.317880794701985
El Salvador,P,P,G,FI,18,15,2,0,0,26,28,5,100,100,92.85714285714286,-72.22222222222221
Eritrea,P,P,U,FI,137,5,0,0,0,135,135,7,..,..,100,-94.8905109489051
Estonia,P,P,G,FI,10,67,8,3,50,6,67,9,13.114754098360656,18.0327868852459,8.955223880597014,-10
Ethiopia,P,P,J,FI,1028,839,260,0,1,259,520,1347,99.61685823754789,99.61685823754789,49.80769230769231,31.03112840466926
Fiji,P,P,J,FA,6,5,5,0,1,4,10,1,83.33333333333334,83.33333333333334,40,-83.33333333333334
Finland,P,P,G,FI,2088,3086,169,1095,632,1647,3543,2283,8.913502109704641,66.66666666666666,46.48602878916173,9.339080459770114
France,P,P,G,FI,18800,52147,3370,1257,38244,0,42871,22627,7.860791677357655,10.792843647220732,0,20.356382978723403
France,P,P,G,JR,29776,31983,4820,1197,25513,0,31530,26613,15.287028227085317,19.083412622898827,0,-10.622649113379904
France,P,P,G,RA,0,5190,0,0,0,0,0,0,..,..,..,..
Gabon,P,P,G,FA,4132,108,2,0,0,1870,1872,2368,100,100,99.8931623931624,-42.69119070667957
Gambia,P,P,G,FI,74,106,0,0,0,154,154,26,..,..,100,-64.86486486486487
Georgia,P,P,G,FA,44,78,21,0,48,13,82,40,30.434782608695656,30.434782608695656,15.853658536585366,-9.090909090909092
Germany,P,P,G,,19753,45741,6481,2319,22565,5029,36394,29502,20.663159572772198,28.056751155746852,13.818211793152718,49.35452842606187
Germany,P,P,G,RA,3536,7606,617,258,1152,4941,6968,4271,30.43907252096695,43.167242229896395,70.90987370838117,20.786199095022624
Germany,P,P,G,JR,28702,0,0,0,0,0,0,28907,..,..,..,0.7142359417462197
Ghana,P,P,J,FA,749,20123,4,0,0,8236,8240,12632,100,100,99.9514563106796,1586.5153538050733
Greece,P,P,G,FI,8625,9311,44,99,8507,1798,10448,7128,0.5086705202312138,1.653179190751445,17.20903522205207,-17.356521739130436
Greece,P,P,G,AR,47095,5981,155,126,714,15271,16266,36814,15.577889447236181,28.241206030150757,93.88294602237796,-21.830342923877268
Grenada,P,P,U,FI,3,0,3,0,0,0,3,0,100,100,0,-100
Guatemala,P,P,G,FI,2,21,9,0,0,4,13,10,100,100,30.76923076923077,400
Guinea,P,P,G,FA,764,367,206,0,184,136,526,605,52.820512820512825,52.820512820512825,25.85551330798479,-20.81151832460733
Guinea-Bissau,P,P,G,FI,330,63,15,0,8,279,302,91,65.21739130434783,65.21739130434783,92.3841059602649,-72.42424242424242
Guyana,P,P,U,FI,0,1,0,0,0,0,0,1,..,..,..,..
Haiti,P,P,U,FI,4,2,0,0,0,0,0,6,..,..,..,50
Honduras,P,P,U,FI,0,9,6,0,0,3,9,0,100,100,33.33333333333333,..
Hungary,P,P,G,FI,368,1693,47,109,722,593,1471,360,5.353075170842825,17.76765375854214,40.312712440516655,-2.1739130434782608
Iceland,P,P,G,FI,22,76,5,8,12,31,56,48,20,52,55.35714285714286,118.18181818181819
Iceland,P,P,G,AR,17,31,0,2,1,13,16,33,0,66.66666666666666,81.25,94.11764705882352
India,P,P,U,FI,3594,4020,3187,0,502,545,4234,3380,86.39197614529684,86.39197614529684,12.871988663202647,-5.954368391764051
India,P,P,U,AR,152,755,149,0,603,17,769,138,19.81382978723404,19.81382978723404,2.2106631989596877,-9.210526315789473
Indonesia,P,P,U,FA,2071,4052,637,0,26,2227,2890,3233,96.07843137254902,96.07843137254902,77.05882352941177,56.10816030902945
Iran (Islamic Rep. of),P,P,U,FI,1775,126,106,0,181,1169,1456,445,36.933797909407666,36.933797909407666,80.28846153846155,-74.92957746478874
Iraq,P,P,U,FI,3073,1161,27,0,0,11,38,4196,100,100,28.947368421052634,36.54409371949235
Ireland,P,P,G,FI,541,1419,61,0,1386,265,1712,248,4.215618521078093,4.215618521078093,15.478971962616821,-54.15896487985212
Ireland,P,P,G,AR,883,1027,71,0,1168,47,1286,624,5.73042776432607,5.73042776432607,3.654743390357698,-29.331823329558325
Ireland,P,P,G,SP,3729,891,0,13,871,0,884,3728,0,1.4705882352941175,0,-0.026816840976133013
Ireland,P,P,G,JR,0,0,0,0,0,0,0,839,..,..,..,..
Israel,P,P,G,FI,5578,4559,3,0,3722,0,3725,6412,0.08053691275167785,0.08053691275167785,0,14.951595553961994
Israel,P,P,U,FI,0,1186,105,15,69,949,1138,48,55.55555555555556,63.49206349206349,83.39191564147627,..
Italy,P,P,G,FI,4076,34117,1803,2526,16995,0,21324,13525,8.45526167698368,20.30106921778278,0,231.82041216879293
Japan2,P,P,G,FI,1115,1867,7,179,2002,110,2119,863,0.31992687385740404,8.500914076782449,5.191127890514394,-22.60089686098655
Japan2,P,P,G,AR,1761,1719,14,69,635,231,880,2600,1.9498607242339834,11.559888579387186,26.25,47.643384440658714
Japan2,P,P,G,JR,207,40,3,0,9,0,12,235,25,25,0,13.526570048309178
Jordan,P,P,U,FA,2150,4579,376,0,594,784,1754,4975,38.76288659793815,38.76288659793815,44.69783352337514,131.3953488372093
Kazakhstan,P,P,G,FI,303,42,14,0,43,237,294,51,24.561403508771928,24.561403508771928,80.61224489795919,-83.16831683168317
Kazakhstan,P,P,U,FI,299,36,18,0,14,284,316,19,56.25,56.25,89.87341772151899,-93.64548494983278
Kenya,P,P,U,AR,1424,12811,1974,0,1804,181,3959,10276,52.249867654843825,52.249867654843825,4.571861581207375,621.629213483146
Kenya,P,P,U,FI,26539,2391,3195,0,15,725,3935,24995,99.53271028037383,99.53271028037383,18.424396442185515,-5.817852971099137
Kuwait,P,P,U,FI,3274,255,9,1,1,2400,2411,1118,81.81818181818183,90.9090909090909,99.54375777685608,-65.85216860109956
Kyrgyzstan,P,P,G,FI,187,162,2,0,79,59,140,209,2.4691358024691357,2.4691358024691357,42.142857142857146,11.76470588235294
Kyrgyzstan,P,P,U,FA,367,84,145,0,57,50,252,199,71.78217821782178,71.78217821782178,19.841269841269842,-45.776566757493185
Latvia,P,P,G,FI,53,335,9,18,29,104,160,231,16.071428571428573,48.214285714285715,65,335.8490566037736
Lebanon,P,P,U,FI,1205,1482,534,1,241,431,1207,1480,68.81443298969072,68.94329896907216,35.708367854183926,22.821576763485478
Lebanon,P,P,U,AR,184,172,7,0,97,24,128,228,6.730769230769231,6.730769230769231,18.75,23.91304347826087
Lebanon,P,P,U,RA,28,33,0,0,6,27,33,28,0,0,81.81818181818183,0
Lesotho,P,P,G,FA,2,10,8,0,0,1,9,3,100,100,11.11111111111111,50
Liberia,P,P,J,FA,28,573,13,0,8,6,27,574,61.904761904761905,61.904761904761905,22.22222222222222,1950
Libya,P,P,U,FI,3194,90,0,0,0,390,390,2894,..,..,100,-9.39261114589856
Liechtenstein,P,P,G,FI,61,75,2,8,27,42,79,57,5.405405405405405,27.027027027027028,53.16455696202531,-6.557377049180328
Lithuania,P,P,G,FI,71,406,6,13,245,137,401,77,2.272727272727273,7.196969696969697,34.1645885286783,8.450704225352112
Luxembourg,P,P,G,FI,682,2076,30,3,726,426,1185,1663,3.9525691699604746,4.3478260869565215,35.949367088607595,143.841642228739
Luxembourg,P,P,G,JR,14,210,4,0,192,13,209,31,2.0408163265306123,2.0408163265306123,6.220095693779904,121.42857142857142
Luxembourg,P,P,G,RA,0,89,0,0,0,0,0,0,..,..,..,..
Luxembourg,P,P,G,AR,0,0,6,0,160,15,181,0,3.614457831325301,3.614457831325301,8.287292817679557,..
Madagascar,P,P,U,FI,0,1,0,0,0,0,0,1,..,..,..,..
Malawi,P,P,G,FI,4796,4079,591,1,317,47,956,7919,65.01650165016501,65.12651265126512,4.916317991631799,65.11676396997498
Malawi,P,P,G,AR,2283,419,0,0,0,76,76,2626,..,..,100,15.024091108190976
Malaysia,P,P,U,FI,10963,15736,11391,0,1348,3968,16707,9992,89.41832168930057,89.41832168930057,23.75052373256719,-8.85706467207881
Malaysia,P,P,U,AR,376,1228,356,0,300,3,659,945,54.268292682926834,54.268292682926834,0.4552352048558422,151.32978723404256
Mali,P,P,G,FI,1696,875,41,0,33,0,74,2497,55.4054054054054,55.4054054054054,0,47.22877358490566
Malta,P,P,G,FI,10,1862,68,811,707,126,1712,164,4.287515762925599,55.42244640605296,7.359813084112149,1540
Malta,P,P,G,AR,1174,685,2,0,721,0,723,1293,0.2766251728907331,0.2766251728907331,0,10.136286201022147
Mauritania,P,P,U,FA,241,378,44,0,42,251,337,282,51.162790697674424,51.162790697674424,74.4807121661721,17.012448132780083
Mexico,P,P,G,FA,172,753,259,21,5,9,294,631,90.87719298245615,98.24561403508771,3.061224489795918,266.86046511627904
Mongolia,P,P,U,FI,1,6,0,0,1,1,2,5,0,0,50,400
Montenegro,P,P,G,FA,5,235,0,2,128,72,202,38,0,1.5384615384615385,35.64356435643564,660
Montserrat,P,P,U,FI,14,0,0,0,0,9,9,5,..,..,100,-64.28571428571429
Morocco,P,P,U,FI,226,859,40,0,423,158,621,464,8.639308855291576,8.639308855291576,25.442834138486315,105.30973451327435
Morocco,P,P,U,AR,76,251,4,0,142,30,176,151,2.73972602739726,2.73972602739726,17.045454545454543,98.68421052631578
Mozambique,P,P,G,FI,5103,3904,127,0,1,0,128,8879,99.21875,99.21875,0,73.99568881050362
Mozambique,P,P,G,AR,809,1,0,0,0,87,87,723,..,..,100,-10.630407911001235
Namibia,P,P,G,FI,1421,267,116,0,116,528,760,928,50,50,69.47368421052632,-34.69387755102041
Nepal,P,P,G,FI,921,0,0,1,0,6,7,914,0,100,85.71428571428571,-0.760043431053203
Nepal,P,P,U,FI,17,42,26,0,2,19,47,12,92.85714285714286,92.85714285714286,40.42553191489361,-29.411764705882355
Nepal,P,P,U,AR,0,2,0,0,0,0,0,2,..,..,..,..
Netherlands,P,P,G,FI,13053,11590,712,6116,8963,0,15791,10420,4.508897473244253,43.239820150718764,0,-20.171608059449937
Netherlands,P,P,G,RA,0,3041,0,0,0,0,0,0,..,..,..,..
Netherlands,P,P,G,JR,0,0,121,1433,1206,0,2760,0,4.384057971014492,56.30434782608695,0,..
New Zealand,P,P,G,FI,147,305,85,0,249,0,334,118,25.449101796407188,25.449101796407188,0,-19.727891156462583
New Zealand,P,P,G,AR,68,184,44,0,78,9,131,122,36.0655737704918,36.0655737704918,6.870229007633588,79.41176470588235
Nicaragua,P,P,G,FI,12,39,13,0,0,32,45,6,100,100,71.11111111111111,-50
Niger,P,P,G,FI,14,139,9,0,42,26,77,76,17.647058823529413,17.647058823529413,33.76623376623377,442.8571428571429
Niger,P,P,G,AR,4,46,0,1,2,0,3,47,0,33.33333333333333,0,1075
Nigeria,P,P,G,FA,1815,201,41,0,60,386,487,1529,40.5940594059406,40.5940594059406,79.26078028747433,-15.757575757575756
Norway,P,P,G,AR,7540,9169,285,424,7964,712,9385,7002,3.286060186786579,8.17479534186556,7.586574320724561,-7.135278514588859
Norway,P,P,G,FI,4933,9053,2810,1240,3809,2627,10486,4151,35.75518513805827,51.533273953429195,25.052450886896814,-15.852422460977092
Oman,P,P,U,FI,13,35,5,0,0,0,5,43,100,100,0,230.76923076923075
Pakistan,P,P,U,FA,2095,982,435,0,291,727,1453,1624,59.917355371900825,59.917355371900825,50.03441156228493,-22.482100238663485
Palau,P,P,U,FI,0,1,0,0,0,0,0,1,..,..,..,..
Panama,P,P,G,FI,479,1396,155,0,61,865,1081,794,71.75925925925925,71.75925925925925,80.01850138760406,65.76200417536533
Papua New Guinea,P,P,J,FA,6,3,0,1,5,2,8,1,0,16.666666666666664,25,-83.33333333333334
Paraguay,P,P,G,FI,7,25,8,0,5,10,23,9,61.53846153846154,61.53846153846154,43.47826086956522,28.57142857142857
Peru,P,P,G,FI,264,466,20,0,42,174,236,494,32.25806451612903,32.25806451612903,73.72881355932203,87.12121212121212
Philippines,P,P,G,FI,73,21,10,0,7,19,36,58,58.82352941176471,58.82352941176471,52.77777777777778,-20.54794520547945
Poland,P,P,G,FI,2123,5086,153,325,2739,6584,9801,2886,4.75598383587193,14.858563879390738,67.17681869197021,35.939707960433346
Poland,P,P,G,RA,0,1801,0,0,0,0,0,0,..,..,..,..
Poland,P,P,G,AR,0,0,4,93,0,200,297,0,4.123711340206185,100,67.34006734006735,..
Portugal,P,P,G,FI,57,275,27,37,0,54,118,214,42.1875,100,45.76271186440678,275.43859649122805
Qatar,P,P,U,FI,16,63,27,3,0,0,30,49,90,100,0,206.25
Rep. of Korea,P,P,G,FA,427,1011,38,21,265,92,416,1022,11.728395061728394,18.209876543209877,22.115384615384613,139.34426229508196
Rep. of Korea,P,P,G,JR,288,129,17,0,241,0,258,147,6.5891472868217065,6.5891472868217065,0,-48.95833333333333
Rep. of Moldova,P,P,G,FA,81,72,3,20,74,7,104,49,3.0927835051546393,23.711340206185564,6.730769230769231,-39.50617283950617
Romania,P,P,G,FA,388,2061,70,35,1417,184,1706,753,4.599211563731932,6.898817345597898,10.785463071512309,94.0721649484536
Russian Federation,P,P,G,FI,1134,1265,114,0,0,1579,1693,706,100,100,93.2663910218547,-37.742504409171076
Russian Federation,P,P,G,TA,329,1027,648,0,0,452,1100,256,100,100,41.090909090909086,-22.188449848024316
Rwanda,P,P,G,FI,290,7,0,0,0,1,1,296,..,..,100,2.0689655172413794
Saint Lucia,P,P,U,FI,6,2,2,0,2,1,5,3,50,50,20,-50
Saint Vincent and the Grenadines,P,P,U,FI,0,1,0,0,0,0,0,1,..,..,..,..
Saudi Arabia,P,P,U,FI,87,22,18,0,4,7,29,80,81.81818181818183,81.81818181818183,24.137931034482758,-8.045977011494253
Senegal,P,P,G,FI,2177,200,8,0,75,31,114,2263,9.63855421686747,9.63855421686747,27.192982456140353,3.9503904455672942
Serbia (and Kosovo: S/RES/1244 (1999)),P,P,G,FI,95,188,0,0,72,202,274,9,0,0,73.72262773722628,-90.52631578947368
Serbia (and Kosovo: S/RES/1244 (1999)),P,P,J,FI,114,3132,0,0,91,2765,2856,390,0,0,96.81372549019608,242.10526315789474
Sierra Leone,P,P,J,FI,210,22,0,24,0,144,168,64,0,100,85.71428571428571,-69.52380952380952
Slovakia,C,C,G,FI,132,491,6,97,82,290,475,121,3.2432432432432434,55.67567567567567,61.05263157894737,-8.333333333333332
Slovakia,C,C,G,AR,135,0,0,0,0,0,0,64,..,..,..,-52.59259259259259
Slovenia,P,P,G,FI,121,373,16,8,175,192,391,103,8.040201005025125,12.060301507537687,49.10485933503836,-14.87603305785124
Somalia,P,P,U,FI,24111,27,128,0,0,17994,18122,6016,100,100,99.2936761946805,-75.04873294346979
South Africa3,P,P,G,FI,0,106904,6803,0,37150,0,43953,63026,15.477896844356472,15.477896844356472,0,..
South Africa3,P,P,G,AR,170702,0,0,0,0,0,0,156342,..,..,..,-8.412320886691427
South Sudan,P,P,U,FI,4,238,10,0,132,12,154,88,7.042253521126761,7.042253521126761,7.792207792207792,2100
Spain,P,P,G,FI,2701,3414,337,651,1834,172,2994,2670,11.941885187810064,35.01063075832743,5.744822979291917,-1.1477230655312847
Sri Lanka,P,P,U,FA,138,165,23,0,76,0,99,204,23.232323232323232,23.232323232323232,0,47.82608695652174
Sudan,P,P,G,FA,5922,10311,9062,0,328,124,9514,6719,96.50692225772099,96.50692225772099,1.3033424427159974,13.458291117865587
Sudan,P,P,U,FI,61,280,96,0,6,46,148,193,94.11764705882352,94.11764705882352,31.08108108108108,216.39344262295083
Suriname,P,P,U,FI,7,4,0,0,0,8,8,3,..,..,100,-57.14285714285714
Sweden,P,P,G,FI,11417,29648,2446,7149,14970,2770,27335,10647,9.957256258904946,39.05963769590881,10.133528443387599,-6.7443286327406495
Sweden,P,P,G,AR,7216,14111,424,812,13759,1978,16973,7491,2.827609203067689,8.24274758252751,11.653803099039651,3.8109756097560976
Switzerland4,P,P,G,FI,9025,19439,3711,2082,2279,11395,19467,13694,45.97373637264619,71.76660059464817,58.53495659320902,51.73407202216066
Switzerland,P,P,G,TP,3890,0,0,988,0,0,988,3221,0,100,0,-17.197943444730075
Syrian Arab Rep.,P,P,U,FI,2358,2746,1030,4,568,1885,3487,1617,64.29463171036205,64.54431960049938,54.057929452251216,-31.424936386768447
Syrian Arab Rep.,P,P,U,AR,87,324,24,0,143,43,210,201,14.37125748502994,14.37125748502994,20.476190476190474,131.0344827586207
Syrian Arab Rep.,P,P,U,RA,1,18,6,0,0,1,7,12,100,100,14.285714285714285,1100
Tajikistan,P,P,G,FA,1564,717,265,0,80,0,345,1936,76.81159420289855,76.81159420289855,0,23.785166240409207
Tajikistan,P,P,U,FI,45,74,27,0,0,1,28,91,100,100,3.571428571428571,102.22222222222221
Thailand,P,P,G,FA,8962,11894,0,0,0,8461,8461,12395,..,..,100,38.30618165588039
Thailand,P,P,U,FI,1030,800,497,0,220,474,1191,639,69.31659693165969,69.31659693165969,39.79848866498741,-37.96116504854369
Thailand,P,P,U,AR,236,165,13,0,35,61,109,292,27.083333333333332,27.083333333333332,55.96330275229357,23.728813559322035
Thailand,P,P,U,RA,22,99,18,0,11,61,90,31,62.06896551724138,62.06896551724138,67.77777777777779,40.909090909090914
The former Yugoslav Republic of Macedonia,P,P,G,FA,161,744,0,0,0,516,516,389,..,..,100,141.61490683229815
Timor-Leste,P,P,G,FI,4,0,0,0,0,2,2,2,..,..,100,-50
Togo,P,P,G,FI,150,5293,36,5022,8,0,5066,377,0.7106198183971575,99.84208448480064,0,151.33333333333334
Tonga,P,P,U,FI,3,0,2,0,0,0,2,1,100,100,0,-66.66666666666666
Trinidad and Tobago,P,P,U,FI,102,29,6,0,19,86,111,20,24,24,77.47747747747748,-80.3921568627451
Tunisia,P,P,U,FA,24,4505,3587,0,328,59,3974,555,91.62196679438058,91.62196679438058,1.4846502264720685,2212.5
Turkey,P,P,U,FI,4806,16021,8101,0,318,2039,10458,10369,96.22282931464544,96.22282931464544,19.497035762096004,115.75114440282978
Turkey,P,P,U,AR,1832,1737,1130,0,355,1523,3008,561,76.0942760942761,76.0942760942761,50.631648936170215,-69.37772925764192
Turkey,P,P,U,RA,77,96,98,0,8,33,139,34,92.45283018867924,92.45283018867924,23.741007194244602,-55.84415584415584
Turkmenistan,P,P,G,FI,0,6,0,0,0,6,6,0,..,..,100,..
Turks and Caicos Islands,P,P,U,FI,0,3,0,0,3,0,3,0,0,0,0,..
Uganda,P,P,G,FA,20804,12704,7567,0,2487,1,10055,23453,75.26357668589615,75.26357668589615,0.009945300845350571,12.733128244568354
Ukraine,P,P,G,FA,1189,890,133,0,361,374,868,1269,26.923076923076923,26.923076923076923,43.08755760368664,6.72834314550042
