Origin,Pending start 2011,of who UNHCR-assisted,Applied during 2011,Positive convetion status,Positive complem. protect. status.,Rejected,Otherwise closed,Total,Pending end 2011,of who UNHCR-assisted.1,Protection indicators recognition rates ref. status,Protection indicators recognition rates total,Protection indicators otherwise closed rate,Protection indicators change pending cases (%)
Estonia,17,0,64,3,0,28,21,52,40,1,9.67741935483871,9.67741935483871,40.38461538461539,135.29411764705884
Ethiopia,49131,41636,30452,8983,336,11935,19773,41026,38842,27472,42.26498541451021,43.845864307894985,48.1962657826744,-20.941971464045103
Fiji,301,0,614,114,0,561,55,730,260,2,16.88888888888889,16.88888888888889,7.534246575342466,-13.621262458471762
Finland,2,0,5,0,0,1,0,1,4,0,0,0,0,100
France,45,1,79,8,1,28,39,76,54,3,21.62162162162162,24.324324324324326,51.31578947368421,20
French Guiana,1,1,0,0,0,0,0,0,0,0,..,..,..,-100
Gabon,47,5,79,17,3,54,26,100,51,7,22.972972972972975,27.027027027027028,26,8.51063829787234
Gambia,1233,110,2303,331,95,1254,661,2341,1197,135,19.702380952380953,25.357142857142854,28.235796668090558,-2.9197080291970803
Georgia,7214,585,8504,509,97,4930,3620,9156,2953,321,9.19436416184971,10.946531791907514,39.53691568370468,-59.06570557249792
Germany,34,1,93,7,1,38,48,94,32,7,15.217391304347828,17.391304347826086,51.06382978723404,-5.88235294117647
Ghana,2081,114,6526,110,87,3276,548,4021,2514,107,3.1672905269219696,5.672329398214799,13.628450634170605,20.807304180682365
Greece,37,4,34,4,0,27,15,46,37,0,12.903225806451612,12.903225806451612,32.608695652173914,0
Grenada,64,0,65,19,1,39,24,83,47,0,32.20338983050847,33.89830508474576,28.915662650602407,-26.5625
Guatemala,1036,17,4069,674,12,1302,3383,5371,1108,15,33.903420523138834,34.50704225352113,62.9864084900391,6.94980694980695
Guinea,4225,758,8711,1704,429,5288,1250,8671,4665,1368,22.9618649777658,28.742757040830075,14.41586898858263,10.414201183431953
Guinea-Bissau,335,157,762,25,12,464,169,670,505,248,4.990019960079841,7.385229540918163,25.223880597014926,50.74626865671642
Guyana,173,0,262,33,1,226,56,316,106,3,12.692307692307692,13.076923076923078,17.72151898734177,-38.72832369942196
Haiti,7242,2021,8650,2188,826,4740,1407,9161,7470,795,28.217694093371165,38.87026051070415,15.358585307280864,3.1483015741507874
Honduras,833,55,2184,341,8,826,877,2052,848,20,29.021276595744684,29.70212765957447,42.73879142300195,1.800720288115246
Hungary,3556,1,4522,169,0,764,1143,2076,6012,0,18.113612004287248,18.113612004287248,55.057803468208085,69.06636670416198
Iceland,2,0,1,0,0,2,1,3,1,0,0,0,33.33333333333333,-50
India,4131,155,9103,535,48,5084,2390,8057,4339,133,9.440621139932945,10.287630139403564,29.663646518555293,5.035100459937062
Indonesia,452,58,1129,236,3,650,636,1525,381,125,26.546681664791898,26.884139482564677,41.704918032786885,-15.70796460176991
Iran (Islamic Rep. of),17506,5095,24816,10028,973,8906,3342,23248,18464,5952,50.37424021700909,55.26196815190636,14.375430144528561,5.472409459613846
Iraq,32031,5670,32714,12219,3809,10014,5199,31241,24502,8779,46.92035941939943,61.546732201827815,16.64159277872027,-23.505354188130248
Ireland,9,1,10,0,0,3,6,9,10,1,0,0,66.66666666666666,11.11111111111111
Israel,811,17,342,52,9,423,174,658,516,8,10.743801652892563,12.603305785123966,26.443768996960486,-36.37484586929716
Italy,55,5,66,9,0,56,26,91,41,1,13.846153846153847,13.846153846153847,28.57142857142857,-25.454545454545453
Jamaica,702,0,981,276,29,547,277,1129,589,1,32.3943661971831,35.798122065727696,24.53498671390611,-16.096866096866098
Japan,9,0,66,3,0,19,18,40,42,0,13.636363636363635,13.636363636363635,45,366.66666666666663
Jordan,640,80,732,104,10,496,260,870,534,77,17.04918032786885,18.688524590163937,29.88505747126437,-16.5625
Kazakhstan,675,51,1384,130,153,914,271,1468,748,53,10.86048454469507,23.642439431913115,18.460490463215258,10.814814814814815
Kenya,1750,280,1553,389,49,904,386,1728,1603,292,28.986587183308494,32.63785394932936,22.337962962962962,-8.4
Kiribati,4,0,2,1,0,2,0,3,3,0,33.33333333333333,33.33333333333333,0,-25
Kuwait,151,15,234,89,6,101,29,225,165,34,45.40816326530612,48.46938775510204,12.88888888888889,9.271523178807946
Kyrgyzstan,1484,461,2320,287,72,1358,747,2464,1568,453,16.71520093185789,20.908561444379732,30.31655844155844,5.660377358490567
Lao People's Dem. Rep.,72,8,72,11,16,67,34,128,23,8,11.702127659574469,28.723404255319153,26.5625,-68.05555555555556
Latvia,181,1,92,32,0,50,60,142,153,1,39.02439024390244,39.02439024390244,42.25352112676056,-15.469613259668508
Lebanon,1590,38,1777,245,41,1287,349,1922,1399,55,15.575333757151938,18.181818181818183,18.158168574401664,-12.0125786163522
Lesotho,5,0,193,0,0,33,1,34,164,1,0,0,2.941176470588235,3180
Liberia,1863,1177,1766,273,18,850,503,1644,1977,1487,23.92638036809816,25.503943908851884,30.59610705596107,6.119162640901772
Libya,673,11,4849,379,295,1660,972,3306,1963,141,16.2382176520994,28.877463581833762,29.401088929219597,191.67904903417534
Liechtenstein,1,0,0,0,0,0,0,0,0,0,..,..,..,-100
Lithuania,125,6,101,9,2,43,50,104,122,1,16.666666666666664,20.37037037037037,48.07692307692308,-2.4
Luxembourg,1,0,0,0,0,0,0,0,1,0,..,..,..,0
Madagascar,22,2,172,29,2,233,3,267,18,3,10.984848484848484,11.742424242424242,1.1235955056179776,-18.181818181818183
Malawi,193,1,4139,40,24,1256,31,1351,2968,2,3.0303030303030303,4.848484848484849,2.29459659511473,1437.823834196891
Malaysia,150,0,481,35,5,363,69,472,142,0,8.6848635235732,9.925558312655088,14.61864406779661,-5.333333333333334
Maldives,3,0,2,3,0,2,0,5,2,0,60,60,0,-33.33333333333333
Mali,357,29,4144,175,483,1848,403,2909,404,30,6.983240223463687,26.256983240223462,13.853557923685115,13.165266106442578
Malta,1,0,0,0,0,0,0,0,0,0,..,..,..,-100
Marshall Islands,0,0,0,0,0,0,2,2,0,0,..,..,100,..
Mauritania,880,318,2024,407,45,2572,251,3275,592,274,13.458994708994709,14.947089947089948,7.66412213740458,-32.72727272727273
Mauritius,81,0,214,11,2,134,28,175,106,1,7.482993197278912,8.843537414965986,16,30.864197530864196
Mexico,9968,15,9162,1384,1,5491,7764,14640,5339,6,20.127981384525885,20.142524723676555,53.0327868852459,-46.43860353130016
Micronesia (Federated States of),0,0,2,0,0,1,0,1,0,0,0,0,0,..
Monaco,0,0,0,2,0,0,2,4,0,0,100,100,50,..
Mongolia,1832,5,2624,180,94,2437,517,3228,1451,3,6.639616377720399,10.106971597196607,16.016109045848822,-20.79694323144105
Montenegro,187,0,732,24,9,411,84,528,305,0,5.405405405405405,7.4324324324324325,15.909090909090908,63.101604278074866
Morocco,850,46,3125,93,52,1573,876,2594,1153,113,5.4132712456344585,8.440046565774157,33.77023901310717,35.647058823529406
Mozambique,19,11,586,4,1,228,14,247,357,5,1.7167381974248928,2.1459227467811157,5.668016194331984,1778.9473684210527
Myanmar,22460,12236,31352,14438,354,2529,12860,29985,24112,22474,83.35546446510017,85.39922637261128,42.888110722027676,7.355298308103294
Namibia,353,9,1006,98,1,87,96,282,1094,27,52.68817204301075,53.2258064516129,34.04255319148936,209.91501416430594
Nauru,0,0,6,0,0,5,2,7,3,0,0,0,28.57142857142857,..
Nepal,1330,112,3558,911,56,1601,825,3392,2019,90,35.47507788161994,37.65576323987539,24.32193396226415,51.804511278195484
Netherlands,24,2,48,1,0,15,22,38,41,6,6.25,6.25,57.89473684210527,70.83333333333334
New Caledonia,0,0,0,0,0,0,1,1,0,0,..,..,100,..
New Zealand,4,0,30,1,0,12,3,16,10,0,7.6923076923076925,7.6923076923076925,18.75,150
Nicaragua,159,10,458,53,2,199,226,480,139,10,20.866141732283463,21.653543307086615,47.083333333333336,-12.578616352201259
Niger,336,42,1097,39,11,717,201,968,286,37,5.084745762711865,6.51890482398957,20.764462809917354,-14.880952380952381
Nigeria,12036,1083,19006,1202,497,11509,3363,16569,10532,1064,9.100545124167171,12.863416111447606,20.29694006880319,-12.495845795945497
Niue,0,0,0,7,0,3,3,13,0,0,70,70,23.076923076923077,..
Norway,0,0,8,0,1,1,1,3,5,0,0,50,33.33333333333333,..
Oman,9,1,7,4,0,5,4,13,4,1,44.44444444444444,44.44444444444444,30.76923076923077,-55.55555555555556
Pakistan,21134,1255,25988,2650,503,14366,2801,20318,13695,1048,15.126434157200752,17.997602602888293,13.785805689536371,-35.19920507239519
Palau,0,0,1,0,0,1,0,1,0,0,0,0,0,..
Palestinian,3290,841,2300,552,94,1984,989,3614,1780,644,20.988593155893536,24.562737642585553,27.36579966795794,-45.8966565349544
Panama,52,4,16,5,0,21,7,33,34,1,19.230769230769234,19.230769230769234,21.21212121212121,-34.61538461538461
Papua New Guinea,42,0,121,39,0,63,0,102,49,0,38.23529411764706,38.23529411764706,0,16.666666666666664
Paraguay,25,2,18,13,0,5,3,21,22,1,72.22222222222221,72.22222222222221,14.285714285714285,-12
Peru,4834,4487,688,78,13,758,247,1096,499,180,9.187279151943462,10.71849234393404,22.536496350364963,-89.67728589160116
Philippines,513,45,951,33,7,682,327,1049,369,71,4.570637119113574,5.540166204986149,31.17254528122021,-28.07017543859649
Poland,159,1,345,15,5,66,86,172,356,1,17.441860465116278,23.25581395348837,50,123.89937106918238
Portugal,63,2,87,1,0,49,31,81,69,0,2,2,38.2716049382716,9.523809523809524
Puerto Rico,0,0,3,0,0,0,3,3,0,0,..,..,100,..
Qatar,7,0,4,4,0,1,0,5,7,0,80,80,0,0
Rep. of Korea,245,1,305,37,3,224,118,385,184,0,14.015151515151514,15.151515151515152,30.649350649350648,-24.897959183673468
Rep. of Moldova,602,4,1048,223,27,688,415,1353,460,21,23.773987206823026,26.652452025586353,30.672579453067257,-23.588039867109632
Romania,328,3,649,61,9,198,205,473,473,2,22.761194029850746,26.119402985074625,43.34038054968288,44.207317073170735
Russian Federation,11953,194,21827,3718,1076,13563,7670,26027,11854,176,20.25385411559623,26.11537832979245,29.469397164483034,-0.828243955492345
Rwanda,9094,7895,3582,834,44,2224,331,3433,9256,7907,26.88588007736944,28.304319793681497,9.641712787649286,1.781394325929184
Saint Kitts and Nevis,12,0,19,9,0,6,4,19,15,0,60,60,21.052631578947366,25
Saint Lucia,685,0,610,282,0,265,67,614,681,0,51.553930530164536,51.553930530164536,10.912052117263844,-0.583941605839416
Saint Maarten,1,0,1,0,0,2,0,2,0,0,0,0,0,-100
Saint Vincent and the Grenadines,1048,0,696,289,0,467,84,840,906,1,38.22751322751323,38.22751322751323,10,-13.549618320610687
Samoa,0,0,5,0,0,1,3,4,0,0,0,0,75,..
San Marino,0,0,2,0,0,0,0,0,0,0,..,..,..,..
Sao Tome and Principe,0,0,4,0,0,0,1,1,0,1,..,..,100,..
Saudi Arabia,87,5,160,56,1,46,29,132,112,11,54.36893203883495,55.33980582524271,21.96969696969697,28.735632183908045
Senegal,1646,242,2970,253,104,1263,625,2245,937,275,15.617283950617283,22.037037037037038,27.839643652561247,-43.07411907654921
Serbia (and Kosovo: S/RES/1244 (1999)),19054,84,28962,1241,850,26765,6110,34966,15404,70,4.300665372886055,7.246326587191572,17.474117714351085,-19.156082712291383
Seychelles,5,0,9,1,0,4,4,9,6,0,20,20,44.44444444444444,20
Sierra Leone,1508,372,1323,320,110,905,273,1608,1221,403,23.970037453183522,32.20973782771536,16.977611940298505,-19.03183023872679
Singapore,13,0,39,2,0,20,8,30,23,0,9.090909090909092,9.090909090909092,26.666666666666668,76.92307692307693
Slovakia,428,2,437,4,3,111,191,309,541,0,3.389830508474576,5.932203389830509,61.81229773462783,26.401869158878505
Slovenia,16,0,6,0,0,9,7,16,7,0,0,0,43.75,-56.25
Solomon Islands,0,0,15,0,0,12,0,12,4,0,0,0,0,..
Somalia,23298,11063,38442,13756,7438,4853,4189,30236,31255,13708,52.81222405651322,81.3682957730257,13.854345812938218,34.15314619280625
South Africa,323,18,411,48,16,329,75,468,214,10,12.213740458015266,16.28498727735369,16.025641025641026,-33.746130030959755
South Sudan,0,0,7,0,0,1,0,1,6,0,0,0,0,..
Spain,70,20,114,3,0,28,50,81,86,0,9.67741935483871,9.67741935483871,61.72839506172839,22.857142857142858
Sri Lanka,10007,2713,13309,3328,412,10853,1434,16018,10245,2994,22.805454670047283,25.62872610155554,8.952428517917344,2.378335165384231
Stateless,2916,81,4496,1093,699,2998,752,5542,2252,89,22.818371607515658,37.41127348643006,13.569108625045109,-22.770919067215363
Sudan,23942,9129,20810,8217,350,2948,1608,13122,31465,14268,71.35909683022145,74.398610508033,12.254229538180155,31.421769275749728
Suriname,10,0,31,1,0,19,13,33,8,0,5,5,39.39393939393939,-20
Swaziland,56,1,162,37,2,42,3,84,135,0,45.67901234567901,48.148148148148145,3.571428571428571,141.07142857142858
Sweden,29,1,16,0,0,20,9,29,22,0,0,0,31.03448275862069,-24.137931034482758
Switzerland,1,0,3,2,0,1,2,5,1,0,66.66666666666666,66.66666666666666,40,0
Syrian Arab Rep.,9927,1661,13998,2123,702,2681,1241,6747,14456,4936,38.5579367962223,51.30766436614602,18.393360011857123,45.62304825224136
Tajikistan,334,65,452,62,17,211,174,464,382,74,21.379310344827587,27.241379310344826,37.5,14.37125748502994
Thailand,230,104,223,19,0,228,50,297,188,108,7.6923076923076925,7.6923076923076925,16.835016835016837,-18.26086956521739
The former Yugoslav Republic of Macedonia,3385,1,7021,49,53,5269,1841,7212,2264,1,0.912306832991994,1.8990876931670082,25.526899611758182,-33.11669128508124
Tibetan,2,1,2,2,0,0,0,2,1,1,100,100,0,-50
Timor-Leste,1,0,2,0,0,9,0,9,1,0,0,0,0,0
Togo,1153,407,3028,182,45,778,207,1212,2988,2268,18.109452736318406,22.587064676616915,17.07920792079208,159.15004336513442
Tonga,10,0,64,4,0,53,3,60,22,0,7.017543859649122,7.017543859649122,5,120
Trinidad and Tobago,169,0,176,43,5,129,75,252,105,0,24.293785310734464,27.11864406779661,29.761904761904763,-37.8698224852071
Tunisia,536,57,9202,74,46,4370,2556,7046,1613,82,1.6481069042316259,2.6726057906458798,36.275901220550665,200.93283582089555
Turkey,7238,493,8608,1183,243,7263,1221,9905,6900,602,13.614915410288871,16.41155483945218,12.327107521453812,-4.669798286819563
Turkmenistan,69,18,95,23,5,31,33,92,82,20,38.983050847457626,47.45762711864407,35.869565217391305,18.84057971014493
Turks and Caicos Islands,2,0,5,1,0,0,0,1,6,0,100,100,0,200
Tuvalu,1,0,2,0,1,1,0,2,1,0,0,50,0,0
Uganda,1072,292,3281,496,57,1730,218,2498,1985,408,21.72579938677179,24.22251423565484,8.726981585268215,85.1679104477612
Ukraine,1177,19,1647,294,53,990,486,1823,1054,27,21.98952879581152,25.953627524308153,26.65935271530444,-10.450297366185216
United Arab Emirates,81,2,28,22,4,15,9,50,14,1,53.65853658536586,63.41463414634146,18,-82.71604938271605
United Kingdom,44,0,68,4,1,35,40,80,49,1,10,12.5,50,11.363636363636363
United Rep. of Tanzania,283,75,964,64,26,462,108,660,559,62,11.594202898550725,16.304347826086957,16.363636363636363,97.52650176678446
United States,888,31,449,6,3,648,143,800,605,9,0.91324200913242,1.36986301369863,17.875,-31.869369369369373
Uruguay,51,4,45,0,0,25,18,43,47,2,0,0,41.86046511627907,-7.8431372549019605
Uzbekistan,1850,968,2074,481,92,1007,953,2533,1516,614,30.443037974683545,36.265822784810126,37.62337149624951,-18.054054054054053
Vanuatu,1,0,2,0,0,1,0,1,2,0,0,0,0,100
Venezuela (Bolivarian Republic of),627,75,1092,788,0,460,461,1709,573,38,63.141025641025635,63.141025641025635,26.974839087185487,-8.61244019138756
Viet Nam,1240,163,2877,156,87,1813,583,2638,1301,280,7.587548638132295,11.819066147859921,22.100075815011373,4.919354838709678
Western Sahara,60,16,200,20,1,67,24,112,14,5,22.727272727272727,23.863636363636363,21.428571428571427,-76.66666666666667
Yemen,663,148,1374,248,116,310,241,915,1162,497,36.795252225519285,54.00593471810089,26.33879781420765,75.26395173453997
Zambia,65,8,267,23,3,102,16,144,190,7,17.96875,20.3125,11.11111111111111,192.30769230769232
Zimbabwe,2198,184,53250,932,151,17356,265,18704,36699,152,5.05450404034926,5.873420467487391,1.416809238665526,1569.6542311191993
Various,247784,97,56017,1432,688,17980,17835,38844,283849,934,7.124378109452737,10.547263681592039,45.91442693852332,14.5550156587996
