Country/territory of asylum,Pending start 2011,of who UNHCR-assisted,Applied during 2011,Positive convention status,Positive complem. protect. status,Rejected,Otherwise closed,Total,Pending end 2011,of who UNHCR-assisted.1,Protection indicator otherwise closed rate (%),Protection indicator change pending cases
Serbia (and Kosovo: S/RES/1244 (1999)),209,209,3320,0,0,163,2967,3130,399,399,94.7923322683706,90.9090909090909
Sierra Leone,210,0,22,0,24,0,144,168,64,17,85.71428571428571,-69.52380952380952
Slovakia*,267,0,491,6,97,82,290,475,185,0,61.05263157894737,-30.711610486891384
Slovenia,121,0,373,16,8,175,192,391,103,0,49.10485933503836,-14.87603305785124
Somalia,24111,24111,27,128,0,0,17994,18122,6016,6016,99.2936761946805,-75.04873294346979
South Africa3,170702,0,106904,6803,0,37150,0,43953,219368,0,0,28.509332052348533
South Sudan,4,0,238,10,0,132,12,154,88,0,7.792207792207792,2100
Spain,2701,0,3414,337,651,1834,172,2994,2670,0,5.744822979291917,-1.1477230655312847
Sri Lanka,138,0,165,23,0,76,0,99,204,0,0,47.82608695652174
Sudan,5983,112,10591,9158,0,334,170,9662,6912,909,1.759470089008487,15.527327427711851
Suriname,7,0,4,0,0,0,8,8,3,0,100,-57.14285714285714
Sweden,18633,0,43759,2870,7961,28729,4748,44308,18138,0,10.715897806265234,-2.6565770407341813
Switzerland,12915,0,19439,3711,3070,2279,11395,20455,16915,0,55.7076509410902,30.971738288811462
Syrian Arab Rep.,2446,2446,3088,1060,4,711,1929,3704,1830,1830,52.07883369330454,-25.18397383483238
Tajikistan,1609,1045,791,292,0,80,1,373,2027,1091,0.2680965147453083,25.97886886264761
Thailand,10250,1535,12958,528,0,266,9057,9851,13357,13103,91.93990457821542,30.31219512195122
The former Yugoslav Republic of Macedonia,161,161,744,0,0,0,516,516,389,389,100,141.61490683229815
Timor-Leste,4,4,0,0,0,0,2,2,2,2,100,-50
Togo,150,0,5293,36,5022,8,0,5066,377,0,0,151.33333333333334
Tonga,3,0,0,2,0,0,0,2,1,0,0,-66.66666666666666
Trinidad and Tobago,102,102,29,6,0,19,86,111,20,20,77.47747747747748,-80.3921568627451
Tunisia,24,2,4505,3587,0,328,59,3974,555,377,1.4846502264720685,2212.5
Turkey,6715,6715,17854,9329,0,681,3595,13605,10964,10964,26.424108783535466,63.27624720774385
Turkmenistan,0,0,6,0,0,0,6,6,0,0,100,..
Turks and Caicos Islands,0,0,3,0,0,3,0,3,0,0,0,..
Uganda,20804,20804,12704,7567,0,2487,1,10055,23453,23453,0.009945300845350571,12.733128244568354
Ukraine*,2825,2825,2228,247,13,561,668,1489,3622,3417,44.86232370718603,28.212389380530972
United Arab Emirates,86,86,216,198,5,12,42,257,45,45,16.342412451361866,-47.674418604651166
United Kingdom*,14881,0,36872,8299,1720,21802,4304,36125,16907,0,11.914186851211072,13.614676433035413
United Rep. of Tanzania,1247,1247,433,13,0,5,957,975,705,363,98.15384615384616,-43.464314354450686
United States*4,6285,0,60587,23512,0,11941,42515,77968,11721,0,54.52878103837472,86.49164677804296
Uruguay,40,21,20,1,0,1,7,9,51,25,77.77777777777779,27.500000000000004
Vanuatu,0,0,2,0,0,0,0,0,2,2,........................................................................................................................................................................................................,..
Venezuela (Bolivarian Rep. of),15858,14162,3176,497,0,1165,3,1665,17369,17330,0.18018018018018017,9.528313784840458
Yemen,2557,2557,5353,1191,0,532,309,2032,5878,5878,15.206692913385828,129.87876417676964
Zambia,325,325,945,203,0,39,7,249,1021,1021,2.8112449799196786,214.15384615384613
Zimbabwe,411,0,1043,0,157,156,364,677,777,777,53.76661742983752,89.05109489051095
